module,fichier,version,theme_id,theme_label,niveau_theme,article_id,question_type,mots_cles_count
juridique,base_juridique.json,4.0.0,preambule,Préambule & Champ d'application,vert,preamb-01,À qui s'applique la CCN ALISFA ?,19
juridique,base_juridique.json,4.0.0,preambule,Préambule & Champ d'application,vert,preamb-02,Quel est le numéro IDCC de la convention ALISFA ?,7
juridique,base_juridique.json,4.0.0,droit_syndical,Droit syndical & Dialogue social,vert,synd-01,Quelles sont les règles sur le droit syndical dans la branche ALISFA ?,19
juridique,base_juridique.json,4.0.0,contrat_travail,Contrat de travail,orange,contrat-01,Quelles sont les règles d'embauche dans la CCN ALISFA ?,13
juridique,base_juridique.json,4.0.0,contrat_travail,Contrat de travail,orange,contrat-02,Quelle est la durée de la période d'essai ?,9
juridique,base_juridique.json,4.0.0,contrat_travail,Contrat de travail,orange,contrat-03,Quelles sont les règles du CDD dans la branche ALISFA ?,14
juridique,base_juridique.json,4.0.0,contrat_travail,Contrat de travail,orange,contrat-04,Quelles sont les règles du temps partiel ?,8
juridique,base_juridique.json,4.0.0,contrat_travail,Contrat de travail,orange,contrat-05,Quelles sont les clauses spécifiques du contrat de travail ALISFA ?,8
juridique,base_juridique.json,4.0.0,contrat_travail,Contrat de travail,orange,contrat-06,Comment fonctionne la modification du contrat de travail ?,17
juridique,base_juridique.json,4.0.0,rupture,Rupture du contrat de travail,orange,rupt-01,Quelle est la durée du préavis de licenciement ?,18
juridique,base_juridique.json,4.0.0,rupture,Rupture du contrat de travail,orange,rupt-02,Quelle est la durée du préavis de démission ?,7
juridique,base_juridique.json,4.0.0,rupture,Rupture du contrat de travail,orange,rupt-03,Comment calculer l'indemnité de licenciement ?,14
juridique,base_juridique.json,4.0.0,rupture,Rupture du contrat de travail,orange,rupt-04,Comment fonctionne la rupture conventionnelle ?,10
juridique,base_juridique.json,4.0.0,rupture,Rupture du contrat de travail,orange,rupt-05,Quelles sont les règles du départ en retraite et de la mise à la retraite ?,13
juridique,base_juridique.json,4.0.0,rupture,Rupture du contrat de travail,orange,rupt-06,Quelles sont les heures de recherche d'emploi pendant le préavis ?,9
juridique,base_juridique.json,4.0.0,rupture,Rupture du contrat de travail,orange,rupt-07,Comment fonctionne le licenciement pour faute grave ou lourde ?,19
juridique,base_juridique.json,4.0.0,rupture,Rupture du contrat de travail,orange,rupt-08,Comment fonctionne la retraite complémentaire dans la branche ALISFA ?,8
juridique,base_juridique.json,4.0.0,rupture,Rupture du contrat de travail,orange,rupt-09,Quels documents remettre au salarié en fin de contrat ?,11
juridique,base_juridique.json,4.0.0,temps_travail,Durée & Organisation du travail,vert,temps-01,Quelle est la durée du travail applicable ?,18
juridique,base_juridique.json,4.0.0,temps_travail,Durée & Organisation du travail,vert,temps-02,Comment fonctionnent les heures supplémentaires ?,11
juridique,base_juridique.json,4.0.0,temps_travail,Durée & Organisation du travail,vert,temps-03,Comment fonctionne le forfait jours ?,16
